School_ID,Count
1,5
2,4
3,5
4,7
5,8
6,8
7,4
8,10
10,5
11,6
12,3
13,4
14,2
15,9
16,5
17,9
18,6
19,3
20,7
21,3
22,3
23,12
24,6
29,1
30,4
31,1
32,2
33,5
41,3
43,2
52,1
59,2
61,5
62,2
68,1
69,1
70,1
73,1
75,4
76,11
82,6
83,2
92,6
93,3
95,2
96,6
97,4
99,1
124,1
125,1
126,2
140,1
150,1
156,1
314,2
316,5
364,1
371,1
383,21
384,13
385,19
386,8
387,14
388,7
389,5
390,5
391,4
392,5
394,1
395,8
396,1
397,14
398,14
399,6
400,9
401,3
402,3
403,1
404,3
405,1
406,10
407,4
408,1
410,5
411,10
412,6
413,2
414,4
415,7
416,17
417,10
418,10
419,15
420,8
421,4
422,11
423,2
424,5
425,2
426,7
431,2
432,4
434,3
436,1
438,1
440,1
442,5
443,14
444,9
445,9
446,9
447,11
448,11
449,12
450,9
451,6
452,13
453,4
454,4
455,4
456,13
457,9
458,4
460,6
462,2
463,5
464,4
465,17
466,6
467,9
468,10
470,5
471,11
472,7
473,6
474,5
475,4
476,8
477,5
479,10
480,8
481,17
482,8
483,3
484,13
485,10
486,8
487,5
488,9
489,7
490,7
491,7
492,10
493,5
494,10
495,15
496,14
497,2
498,9
499,4
500,13
501,6
502,5
503,13
504,12
505,18
506,10
507,4
508,10
509,6
510,8
511,3
512,4
513,2
514,8
515,6
516,7
517,11
518,4
519,1
520,2
521,2
522,10
523,1
524,9
525,8
526,22
527,17
528,33
529,5
530,22
531,7
532,9
533,8
534,23
535,12
536,4
537,17
538,11
539,11
541,19
542,17
543,9
544,6
545,7
546,12
547,6
548,2
549,13
550,11
551,13
553,11
554,9
555,9
556,6
557,7
558,7
559,8
561,2
564,8
565,14
566,32
567,35
568,14
569,21
570,11
572,13
573,21
574,10
575,15
576,8
577,15
578,3
579,6
580,8
581,17
582,18
583,14
584,17
585,10
586,9
587,24
588,9
589,16
590,16
591,4
592,5
593,6
594,11
595,14
596,24
597,11
598,5
599,12
600,9
601,1
602,18
603,9
604,3
605,18
606,13
607,4
608,3
609,7
610,7
611,16
612,17
613,17
614,26
615,4
616,27
617,24
618,7
619,13
620,14
621,22
622,12
623,14
624,3
625,3
626,2
627,5
628,2
629,7
630,4
631,2
632,1
633,2
634,1
643,1
644,2
645,2
646,3
649,4
650,2
651,4
652,1
653,2
666,5
667,4
668,8
669,4
670,3
671,7
672,1
673,1
678,8
681,5
682,2
683,6
684,2
688,33
689,18
690,16
691,25
692,15
693,25
694,23
695,4
696,20
697,3
698,8
699,9
700,17
701,16
702,3
703,19
704,32
705,37
706,21
707,20
708,34
709,4
710,38
711,16
712,10
713,8
714,6
715,13
716,5
717,9
