"MANAERP__Partner_Internal_Id__c","MANAERP__School_Code__c","Name","School_Name_kana__c","Org_Code__c","Org_Name__c","Org_Level__c","MANAERP__Location_Type__c","Type","ParentId","_Parent.Name","MANAERP__Second_Parent__r:Account:MANAERP__Partner_Internal_Id__c","MANAERP_Linework_Calender_Id__c","Phone","MANAERP__Email__c","MANAERP__City__c","MANAERP__Street_1__c","MANAERP__Street_2__c","MANAERP__Postal_Code__c","MANAERP__Prefecture__c","MANAERP__Status__c","__Status","__Id","__Action","__Errors"
"000072","2","高校・大学事業カンパニー","コウコウダイガクジギョウカンパニー","000002","高校・大学事業カンパニー","000001","Org","","","","","","368651900","","港区","芝1-5-9","住友不動産芝ビル2号館5F","1050014","東京都","Operating","Succeeded","001IR00001xW1MxYAK","Inserted",""
"000073","11","株式会社 ウィザス","カブシキガイシャウィザス","000011","株式会社 ウィザス","000002","Brand","","000072","高校・大学事業カンパニー","","","662644200","","大阪市","中央区備後町3-6-2","KFセンタービル4F","5410051","大阪府","Operating","Queued","","","FIELD_FILTER_VALIDATION_EXCEPTION: Parent Account is invalid. [ParentId]"
"000286","190","学校法人柏専学院","ガッコウホウジンハクセンガクイン","000190","学校法人柏専学院","000002","Brand","","000072","高校・大学事業カンパニー","","","257248436","","柏崎市","軽井川4730","","9451355","新潟県","Operating","Queued","","","FIELD_FILTER_VALIDATION_EXCEPTION: Parent Account is invalid. [ParentId]"
"0","8900","高校大学事業本部","コウコウダイガクジギョウホンブ","008900","高校大学事業本部","000003","Business Division","","000072","高校・大学事業カンパニー","","","368651900","","港区","芝1-5-9","住友不動産芝ビル2号館5F","1050014","東京都","Operating","Queued","","","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST: Location Type: bad value for restricted picklist field: Business Division [MANAERP__Location_Type__c]"
"000074","8924","事業推進部","ジギョウスイシンブ","008924","事業推進部","000003","Managing Division","","0","高校大学事業本部","","","","","港区","芝1-5-9","住友不動産芝ビル2号館5F","1050014","東京都","Operating","Queued","","","INVALID_FIELD: Foreign key external ID: 0 not found for field MANAERP__Partner_Internal_Id__c in entity Account []"
"000057","8925","高大連携事業部","コウダイレンケイジギョウブ","008925","高大連携事業部","000004","Managing Division","","0","高校大学事業本部","","","368651904","","港区","芝1-5-9","住友不動産芝ビル2号館5F","1050014","東京都","Operating","Queued","","","INVALID_FIELD: Foreign key external ID: 0 not found for field MANAERP__Partner_Internal_Id__c in entity Account []"
"000068","8879","運営支援部","ウンエイシエンブ","008879","運営支援部","000004","Managing Division","","0","高校大学事業本部","","","","","港区","芝1-5-9","住友不動産芝ビル2号館5F","1050014","東京都","Operating","Queued","","","INVALID_FIELD: Foreign key external ID: 0 not found for field MANAERP__Partner_Internal_Id__c in entity Account []"
"000331","10800","統括支援本部","トウカツシエンホンブ","010800","統括支援本部","000004","Managing Division","","0","高校大学事業本部","","","","","大阪市","備後町3-6-2","KFセンタービル4F","5410051","大阪府","Operating","Queued","","","INVALID_FIELD: Foreign key external ID: 0 not found for field MANAERP__Partner_Internal_Id__c in entity Account []"
"000835","8994","本校運営部","ホンコウウンエイブ","008994","本校運営部","000004","Managing Division","","0","高校大学事業本部","","","3686519","","港区","芝1-5-9","住友不動産芝ビル2号館5F","1050014","東京都","Operating","Queued","","","INVALID_FIELD: Foreign key external ID: 0 not found for field MANAERP__Partner_Internal_Id__c in entity Account []"
"000054","8922","教育運営部","キョウイクウンエイブ","008922","教育運営部","000005","Area","","0","高校大学事業本部","","","","","港区","芝1-5-9","住友不動産芝ビル2号館5F","1050014","東京都","Operating","Queued","","","INVALID_FIELD: Foreign key external ID: 0 not found for field MANAERP__Partner_Internal_Id__c in entity Account []"
"000060","8874","第１エリア（高大本部）","ダイイチエリア","008874","第１エリア（高大本部）","000005","Area","","0","高校大学事業本部","","","","","","","","","","Operating","Queued","","","INVALID_FIELD: Foreign key external ID: 0 not found for field MANAERP__Partner_Internal_Id__c in entity Account []"
"000061","8875","第２エリア（高大本部）","ダイニエリア","008875","第２エリア（高大本部）","000005","Area","","0","高校大学事業本部","","","","","","","","","","Operating","Queued","","","INVALID_FIELD: Foreign key external ID: 0 not found for field MANAERP__Partner_Internal_Id__c in entity Account []"
"000062","8876","第３エリア（高大本部）","ダイサンエリア","008876","第３エリア（高大本部）","000005","Area","","0","高校大学事業本部","","","","","","","","","","Operating","Queued","","","INVALID_FIELD: Foreign key external ID: 0 not found for field MANAERP__Partner_Internal_Id__c in entity Account []"
"000063","8877","第４エリア（高大本部）","ダイヨンエリア","008877","第４エリア（高大本部）","000005","Area","","0","高校大学事業本部","","","","","","","","","","Operating","Queued","","","INVALID_FIELD: Foreign key external ID: 0 not found for field MANAERP__Partner_Internal_Id__c in entity Account []"
"000064","8880","第５エリア（高大本部）","ダイゴエリア","008880","第５エリア（高大本部）","000005","Area","","0","高校大学事業本部","","","","","","","","","","Operating","Queued","","","INVALID_FIELD: Foreign key external ID: 0 not found for field MANAERP__Partner_Internal_Id__c in entity Account []"
"000071","8881","第６エリア（高大本部）","ダイロクエリア","008881","第６エリア（高大本部）","000005","Area","","0","高校大学事業本部","","","","","","","","","","Operating","Queued","","","INVALID_FIELD: Foreign key external ID: 0 not found for field MANAERP__Partner_Internal_Id__c in entity Account []"
"000128","8933","法人支援室","ホウジンシエンシツ","008933","法人支援室","000005","Area","","000074","事業推進部","","","368651902","","港区","芝1-5-9","住友不動産芝ビル2号館5F","1050014","東京都","Operating","Queued","","","INVALID_FIELD: Foreign key external ID: 000074 not found for field MANAERP__Partner_Internal_Id__c in entity Account []"
"000339","10200","経営管理部","ケイエイカンリブ","010200","経営管理部","000005","Area","","000331","統括支援本部","","","","","大阪市","備後町3-6-2","KFセンタービル4F","5410051","大阪府","Operating","Queued","","","INVALID_FIELD: Foreign key external ID: 000331 not found for field MANAERP__Partner_Internal_Id__c in entity Account []"
